SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,2.6333e-007,1.11006e-007,1,0.633333,0,0.481894
3,3.13332e-007,1.68789e-007,3,1.16667,0,0.636832
4,6.73334e-007,2.05182e-006,6,1.8,0,0.87178
5,3.26667e-007,1.48173e-007,10,2.73333,0,0.891939
6,3.39998e-007,1.25433e-007,15,3.6,0,0.986577
7,3.46666e-007,9.21331e-008,21,4.66667,0,1.0435
8,4.80001e-007,2.0396e-007,28,5.46667,0,0.921352
9,5.26667e-007,2.11238e-007,36,6.33333,0,0.977525
10,5.53332e-007,2.92956e-007,45,6.96667,0,1.378
11,6.06664e-007,3.30587e-007,55,7.6,0,1.2
12,5.86668e-007,2.09336e-007,66,8.9,0,1.39881
13,8.46666e-007,5.88629e-007,78,9.46667,0,1.47723
14,9.36663e-007,5.986e-007,91,10.1333,0,1.30979
15,6.96665e-007,1.6829e-007,105,11.9,0,1.44568
16,1.19667e-006,5.62424e-007,120,12.3,0,1.18743
32,2.83e-006,1.80021e-006,496,27.6333,0,1.53804
64,8.98e-006,4.56709e-006,2016,59.3333,0,1.86786
125,2.47967e-005,4.58479e-006,7750,119.367,0,1.87053
250,0.000103097,2.32195e-005,31125,243.7,0,2.28254
500,0.000554747,0.000260669,124750,493.467,0,1.87498
1000,0.00193318,0.000736477,499500,992.767,0,2.30483
2000,0.0064315,0.000957968,1.999e+006,1992.37,0,2.52301
4000,0.0232591,0.0026861,7.998e+006,3990.97,0,2.42876
8000,0.0862125,0.00282834,3.1996e+007,7990.33,0,2.68742
16000,0.338751,0.004335,1.27992e+008,15989,0,3.46875
30000,1.1904,0.0150939,4.49985e+008,29988,0,3.54024
50000,3.37507,0.164622,1.24998e+009,49988.2,0,3.16649
100000,13.0529,0.0325717,4.99995e+009,99985.7,0,3.76962
250000,81.3229,0.113833,3.12499e+010,249981,0,4.29845
